id	smiles	MQN	Emol	Ekat	HOMO	LUMO	I	n
mol2947	CC1=CC(=CO)C(=O)N=C1C#C	[9, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 12, 3, 2, 1, 4, 2, 0, 0, 5, 3, 1, 1, 0, 0, 4, 2, 0, 0, 2, 4, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]	-551,7221658	-551,4174813	-0,21513	-0,12128	0,3046845	3,71
mol2948	CC1=CCC(O)C2=CC(Cl)=C(N)N12	[9, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 13, 4, 0, 0, 7, 3, 0, 0, 4, 3, 3, 2, 0, 0, 4, 0, 0, 0, 3, 6, 0, 0, 0, 1, 1, 0, 0, 0, 0, 2, 1]	-993,7088647	-993,4511519	-0,16577	-0,03883	0,2577128	4,23
mol2949	CC1NC1C1C(O)C1(O)C(=C)CN	[9, 0, 0, 0, 0, 0, 0, 1, 1, 2, 0, 13, 7, 1, 0, 6, 0, 0, 3, 6, 4, 5, 4, 0, 0, 5, 1, 1, 0, 1, 4, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]	-611,7494449	-611,4800511	-0,18211	-0,02031	0,2693938	4,58
mol2950	CN1CC(CNCCC(=O)C#N)C1	[9, 0, 0, 0, 0, 0, 0, 2, 1, 1, 0, 13, 7, 1, 1, 4, 0, 0, 5, 5, 4, 1, 1, 0, 0, 3, 5, 1, 0, 2, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]	-590,7062532	-590,4309964	-0,18036	-0,12103	0,2752568	3,39
mol2951	C=NN=C1NOC2(CC2C#C)O1	[7, 0, 0, 0, 0, 0, 0, 2, 1, 0, 2, 12, 2, 2, 1, 8, 0, 0, 1, 7, 5, 1, 1, 0, 0, 2, 3, 0, 0, 4, 2, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0]	-584,8150876	-584,5193486	-0,19108	-0,05797	0,295739	4,66
mol2952	C=CC12CC(NC1=N)(C#C)C1OC21	[10, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 13, 2, 2, 1, 10, 0, 0, 1, 4, 3, 2, 2, 0, 0, 3, 2, 0, 0, 3, 3, 2, 1, 0, 2, 0, 0, 0, 0, 0, 5, 3]	-571,0183479	-570,7190725	-0,20542	-0,02813	0,2992754	4,97
mol2953	NCC#CC12CNC1CC1CN2C1	[10, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 13, 3, 0, 1, 11, 0, 0, 0, 3, 3, 3, 2, 0, 0, 1, 3, 0, 0, 5, 3, 1, 0, 2, 0, 2, 0, 0, 0, 0, 7, 8]	-553,5388846	-553,2830025	-0,16702	-0,00294	0,2558821	4,65
mol2954	CCCOC(COC=C)C1NC1C	[10, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 13, 9, 1, 0, 3, 0, 0, 7, 5, 3, 1, 1, 0, 0, 3, 6, 1, 0, 1, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]	-596,9083913	-596,6259504	-0,1935	-0,0122	0,2824409	4,89
mol2955	CCN(NC)C1=NCCC1(C)CO	[9, 0, 0, 0, 0, 0, 0, 2, 1, 1, 0, 13, 8, 0, 0, 4, 1, 0, 3, 5, 4, 2, 2, 0, 0, 4, 3, 1, 0, 3, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]	-593,140558	-592,8670057	-0,1824	-0,01066	0,2735523	4,82
mol2956	CC1(CNC2CCOC2)OCC1N	[9, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 13, 5, 0, 0, 9, 0, 0, 3, 6, 4, 3, 2, 0, 0, 2, 2, 0, 0, 6, 2, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0]	-612,9826487	-612,7137134	-0,17659	0,01721	0,2689353	5,15
mol2957	CC(C)CC#CC(C=NN)=NO	[8, 0, 0, 0, 0, 0, 0, 3, 0, 1, 0, 12, 8, 2, 1, 0, 0, 0, 2, 5, 4, 3, 2, 0, 0, 4, 6, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	-551,3853369	-551,1139344	-0,17809	-0,07374	0,2714025	3,96
