id	smiles	Carbon	Cyclic nitrogen	Heavy atoms	Acyclic double bonds	Cyclic single bonds	Cyclic double bonds	H-bond acceptor sites	H-bond acceptor atoms	Cyclic divalent nodes	Cyclic trivalent nodes	n
mol3120	CCCCC1(CC(N)CCC)CN1	11	1	13	0	3	0	2	2	2	0	5.63
mol3121	CC1C(C)C1N1CC(=C)C(=C)C1C	12	1	13	2	8	0	1	1	1	7	4.09
mol3122	CC1(CC1)C(O)CS(C)(=O)=O	7	0	11	2	3	0	6	3	2	0	5.73
mol3123	CC1NC(=N)C2(CN)C(O)C2C1N	8	1	13	1	8	0	6	5	1	5	4.43
mol3124	CC1=CC2CC2CCC(CN)CO1	11	0	13	0	10	1	3	2	6	4	4.60
mol3125	CNCC1(C)NC(C#C)C1CCO	10	1	13	0	4	0	4	3	1	2	4.93
mol3126	O=C1CC2CC(C=NN2)C2CC12	9	2	12	1	12	1	4	3	6	5	4.22
mol3127	CN1CC2CC(C)(O)C3C(N)C2C13	10	1	13	0	11	0	4	3	2	6	4.93
mol3128	CC1C2CC3(CC=C)CC(CO3)N12	11	1	13	1	11	0	3	2	4	4	4.77
mol3129	C1N2C=NCC3=CN4N=CC=C4C123	9	4	13	0	12	4	4	4	8	4	4.15
mol3130	NN=C1C(=C)CNC1=CS(N)(=O)=O	6	1	13	5	5	0	8	6	2	3	3.49
mol3131	CNC1(C=C)C(OCC11CN1)=CC	10	1	13	2	8	0	4	3	4	1	4.62
mol3132	OC1CC2C3CC3(C=C)C=C2C1	11	0	12	1	10	1	2	1	4	4	4.56
mol3133	CC=C(C=C)C1(N)C2COCC12N	10	0	13	2	7	0	4	3	3	1	4.14
mol3134	CC1C(N)C1N(C=C)C(=NO)C#C	9	0	13	2	3	0	5	4	0	3	3.82
mol3135	CC(CO)C12CC3CC1(C=C)C2N3	11	1	13	1	9	0	3	2	3	2	4.72
mol3136	CCC1C=C(C)C(CC)N1C=NN	10	1	13	1	4	1	3	3	1	4	4.38
mol3137	CC1=CC2CC2C2(CC1)C=NN=C2	11	2	13	0	11	3	2	2	8	3	4.09
mol3138	CCN1CCC(=NOC)N=C1	7	2	11	1	5	1	5	4	4	2	4.20
mol3139	CCC1(N)C=CC(=N)NOS1(=O)=O	6	1	13	3	6	1	9	6	4	1	4.09
mol3140	CC1NCC2C3OC1C(=C)C23O	9	1	12	1	11	0	5	3	3	5	4.68
